Acadian Flycatcher
American Crow
American Goldfinch
American Pipit
American Redstart
American Three toed
Anna Hummingbird
Artic Tern
Baird Sparrow
Baltimore Oriole
Bank Swallow
Barn Swallow
Bay breasted Warbler
Belted Kingfisher
Bewick Wren
Black and white
Black billed Cuckoo
Black capped Vireo
Black footed Albatross
Black Tern
Black throated Blue
Black throated Sparrow
Blue Grosbeak
Blue headed Vireo
Blue Jay
Blue winged Warbler
Boat tailed Grackle
Bobolink
Bohemian Waxwing
Brandt Cormorant
Brewer Blackbird
Brewer Sparrow
Bronzed Cowbird
Brown Creeper
Brown Pelican
Brown Thrasher
Cactus Wren
California Gull
Canada Warbler
Cape Glossy Starling
Cape May Warbler
Cardinal
Carolina Wren
Caspian Tern
Cedar Waxwing
Cerulean Warbler
Chestnut sided Warbler
Chipping Sparrow
Chuck will Widow
Clark Nutcracker
Clay colored Sparrow
Cliff Swallow
Common Raven
Common Tern
Common Yellowthroat
Crested Auklet
Dark eyed Junco
Downy Woodpecker
Eared Grebe
Eastern Towhee
Elegant Tern
European Goldfinch
Evening Grosbeak
Field Sparrow
Fish Crow
Florida Jay
Forsters Tern
Fox Sparrow
Frigatebird
Gadwall
Geococcyx
Glaucous winged Gull
Golden winged Warbler
Grasshopper Sparrow
Gray Catbird
Gray crowned Rosy
Gray Kingbird
Great Crested Flycatcher
Great Grey Shrike
Green Jay
Green Kingfisher
Green tailed Towhee
Green Violetear
Groove billed Ani
Harris Sparrow
Heermann Gull
Henslow Sparrow
Herring Gull
Hooded Merganser
Hooded Oriole
Hooded Warbler
Horned Grebe
Horned Lark
Horned Puffin
House Sparrow
House Wren
Indigo Bunting
Ivory Gull
Kentucky Warbler
Laysan Albatross
Lazuli Bunting
Le Conte Sparrow
Least Auklet
Least Flycatcher
Least Tern
Lincoln Sparrow
Loggerhead Shrike
Long tailed Jaeger
Louisiana Waterthrush
Magnolia Warbler
Mallard
Mangrove Cuckoo
Marsh Wren
Mockingbird
models
Mourning Warbler
Myrtle Warbler
Nashville Warbler
Nelson Sharp tailed
Nighthawk
Northern Flicker
Northern Fulmar
Northern Waterthrush
Olive sided Flycatcher
Orange crowned Warbler
Orchard Oriole
0 out.txt
Ovenbird
Pacific Loon
Painted Bunting
Palm Warbler
Parakeet Auklet
Pelagic Cormorant
Philadelphia Vireo
Pied billed Grebe
Pied Kingfisher
Pigeon Guillemot
Pileated Woodpecker
Pine Grosbeak
Pine Warbler
Pomarine Jaeger
Prairie Warbler
Prothonotary Warbler
Purple Finch
Red bellied Woodpecker
Red breasted Merganser
Red cockaded Woodpecker
Red eyed Vireo
Red faced Cormorant
Red headed Woodpecker
Red legged Kittiwake
Red winged Blackbird
Rhinoceros Auklet
Ring billed Gull
Ringed Kingfisher
Rock Wren
Rose breasted Grosbeak
Ruby throated Hummingbird
Rufous Hummingbird
Rusty Blackbird
Sage Thrasher
Savannah Sparrow
Sayornis
Scarlet Tanager
Scissor tailed Flycatcher
Scott Oriole
Seaside Sparrow
Shiny Cowbird
Slaty backed Gull
Song Sparrow
Sooty Albatross
Spotted Catbird
Summer Tanager
Swainson Warbler
Tennessee Warbler
Tree Sparrow
Tree Swallow
Tropical Kingbird
Vermilion Flycatcher
Vesper Sparrow
Warbling Vireo
Western Grebe
Western Gull
Western Meadowlark
Western Wood Pewee
Whip poor Will
White breasted Kingfisher
White breasted Nuthatch
White crowned Sparrow
White eyed Vireo
White necked Raven
White Pelican
White throated Sparrow
Wilson Warbler
Winter Wren
Worm eating Warbler
Yellow bellied Flycatcher
Yellow billed Cuckoo
Yellow breasted Chat
Yellow headed Blackbird
Yellow throated Vireo
Yellow Warbler
